Job #,Borough,Street Name,GIS_NTA_NAME
520214250,STATEN ISLAND,RICHMOND ROAD,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
321205557,BROOKLYN,BATH AVENUE,Bensonhurst East
321211871,BROOKLYN,BROOKLYN AVE,East Flatbush-Farragut
321209517,BROOKLYN,AVE T,Georgetown-Marine Park-Bergen Beach-Mill Basin
122479255,MANHATTAN,5 AVENUE,East Harlem South
321231412,BROOKLYN,WEST STREET,Greenpoint
140369946,MANHATTAN,WEST 47 STREET,Clinton
122481741,MANHATTAN,EAST 46TH STREET,Turtle Bay-East Midtown
421213181,QUEENS,213 STREET,Oakland Gardens
122519088,MANHATTAN,BROOME STREET,SoHo-TriBeCa-Civic Center-Little Italy
122541703,MANHATTAN,W 207 STREET,Marble Hill-Inwood
122542347,MANHATTAN,WEST 119TH STREET,Central Harlem South
122566712,MANHATTAN,BROADWAY,Hamilton Heights
120952530,MANHATTAN,EAST 84TH STREET,Yorkville
321211871,BOOKLYN,BROOKLYN AVE,East Flatbush-Farragut
421239733,QUEENS,37 STREET,Steinway
321249957,BROOKLYN,SACKMAN STREET,Ocean Hill
321307073,BROOKLYN,BAINBRIDGE STREET,Crown Heights North
520263223,STATEN ISLAND,ELM STREET,West New Brighton-New Brighton-St. George
103649045,MANHATTAN,EAST HOUSTON STREET,Lower East Side
340364082,BROOKLYN,MONROE  STREET,Stuyvesant Heights
321323509,BROOKLYN,LEWIS AVENUE,Stuyvesant Heights
321368024,BROOKLYN,SCHOLES STREET,Bushwick South
321368024,BROOKLYN,SCHOLES STREET,Bushwick South
321368024,BROOKLYN,SCHOLES STREET,Bushwick South
220523002,BRONX,MORRIS AVENUE,Fordham South
140520238,MANHATTAN,4 AVENUE,East Village
340402200,BROOKLYN,EAST 7TH STREET,Kensington-Ocean Parkway
321416133,BROOKLYN,EAST 35TH STREET,East Flatbush-Farragut
122877324,MANHATTAN,WEST 150TH STREET,Hamilton Heights
122877324,MANHATTAN,WEST 150TH STREET,Hamilton Heights
220550794,BRONX,OLINVILLE AVENUE,Williamsbridge-Olinville
122886966,MANHATTAN,AMSTERDAM AVENUE,Lincoln Square
321365018,BROOKLYN,CYRUS AVENUE,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
321263529,BROOKLYN,57 STREET,Borough Park
321195069,BROOKLYN,SCHOLES STREET,Bushwick South
122847241,MANHATTAN,EAST 80TH STREET,Yorkville
440356222,QUEENS,1ST STREET,Old Astoria
340450443,BROOKLYN,PUTNAM AVENUE,Stuyvesant Heights
122938250,MANHATTAN,MADISON AVENUE,East Harlem South
122968262,MANHATTAN,EAST 95TH ST.,Upper East Side-Carnegie Hill
122989070,MANHATTAN,WEST 20 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
122982406,MANHATTAN,WEST 63RD STREET,Lincoln Square
321229826,BROOKLYN,HUDSON WALK,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
421414856,QUEENS,KENO AVENUE,Jamaica Estates-Holliswood
421385780,QUEENS,JAMAICA AVENUE,Woodhaven
122994224,MANHATTAN,WEST 131ST STREET,Manhattanville
340466748,BROOKLYN,NORTH   1ST   STREET,North Side-South Side
321516962,BROOKLYN,POWELL STREET,Brownsville
321517738,BROOKLYN,GREENE AVENUE,Bushwick North
340474472,BROOKLYN,PARK PLACE,Crown Heights North
220584008,BRONX,FRANKLIN AVENUE,Morrisania-Melrose
