Job #,Borough,Street Name,GIS_NTA_NAME
420667638,QUEENS,GRAND AVENUE,Hunters Point-Sunnyside-West Maspeth
340738036,BROOKLYN,44TH STREET,Sunset Park East
140916105,MANHATTAN,EAST 74TH STREET,Lenox Hill-Roosevelt Island
140916132,MANHATTAN,WEST 57TH STREET,Clinton
340738072,BROOKLYN,EAST 70 STREET,Georgetown-Marine Park-Bergen Beach-Mill Basin
322036827,BROOKLYN,BROOKLYN AVENUE,Crown Heights North
340738063,BROOKLYN,ALABAMA AVENUE,East New York (Pennsylvania Ave)
123577584,MANHATTAN,EAST 14 STREET,East Village
340738107,BROOKLYN,BERGEN STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
440601797,QUEENS,134TH STREET,South Ozone Park
140916150,MANHATTAN,3RD AVE,Upper East Side-Carnegie Hill
140916141,MANHATTAN,8 AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
440601788,QUEENS,30TH AVENUE,Old Astoria
140916169,MANHATTAN,1 AVENUE,Yorkville
340738116,BROOKLYN,BERGEN STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
440601779,QUEENS,COOPER AVENUE,Glendale
440601804,QUEENS,134TH STREET,South Ozone Park
440601859,QUEENS,KEW GARDENS RD,Kew Gardens
440601831,QUEENS,210TH PLACE,Queens Village
140916203,MANHATTAN,WEST 87 STREET,Upper West Side
140916187,MANHATTAN,WEST 72ND STREET,Lincoln Square
140916196,MANHATTAN,CENTRAL PARK WEST,Lincoln Square
440601822,QUEENS,COOPER AVENUE,Glendale
440601840,QUEENS,156 ST,East Flushing
123186364,MANHATTAN,WEST BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
440601868,QUEENS,145TH DRIVE,Springfield Gardens South-Brookville
140916285,MANHATTAN,BROADWAY,Midtown-Midtown South
140916276,MANHATTAN,6 AVENUE,Midtown-Midtown South
440601886,QUEENS,COOPER AVENUE,Glendale
140916249,MANHATTAN,FIFTH AVENUE,Upper East Side-Carnegie Hill
201204464,BRONX,EAST FORDHAM ROAD,Belmont
201204464,BRONX,EAST FORDHAM ROAD,Belmont
140916310,MANHATTAN,WEST 19TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
240275974,BRONX,EAST 189TH STREET,Belmont
440601902,QUEENS,172 ST,Springfield Gardens North
140916329,MANHATTAN,LEXINGTON AVENUE,Turtle Bay-East Midtown
321797196,BROOKLYN,48 STREET,Borough Park
140916338,MANHATTAN,9TH AVENUE,Clinton
140916374,MANHATTAN,EAST 81ST STREET,Upper East Side-Carnegie Hill
540177137,STATEN ISLAND,FOREST ROAD,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
340738134,BROOKLYN,VANDERBILT AVENUE,Clinton Hill
140916347,MANHATTAN,WEST 94TH,Upper West Side
340738143,BROOKLYN,HANCOCK STREET,Stuyvesant Heights
140916356,MANHATTAN,LENOX AVE,Central Harlem North-Polo Grounds
340738152,BROOKLYN,EAST 3RD STREET,Homecrest
340738198,BROOKLYN,JOHNSON STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
240275992,BRONX,WEST 231ST STREET,Van Cortlandt Village
240275983,BRONX,TINTON AVENUE,Morrisania-Melrose
140916383,MANHATTAN,W 135 ST,Central Harlem North-Polo Grounds
540177155,STATEN ISLAND,ROBINSON AVENUE,Great Kills
240276009,BRONX,WILLIAMSBRIDGE RD,Van Nest-Morris Park-Westchester Square
140916409,MANHATTAN,5TH AVENUE,Midtown-Midtown South
440601939,QUEENS,125TH STREET,South Ozone Park
140916436,MANHATTAN,EAST 21 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
340738232,BROOKLYN,FLATBUSH AVE,Flatbush
140916427,MANHATTAN,TEST STREET,
340738223,BROOKLYN,REMSEN AVENUE,Rugby-Remsen Village
140916454,MANHATTAN,DUANE STREET,SoHo-TriBeCa-Civic Center-Little Italy
140916472,MANHATTAN,WEST 47TH STREET,Midtown-Midtown South
340738241,BROOKLYN,LEONARD STREET,Greenpoint
140916506,MANHATTAN,WEST 39TH STREET,Midtown-Midtown South
140916463,MANHATTAN,BROADWAY,Washington Heights South
440601948,QUEENS,163 ST,Murray Hill
140916481,MANHATTAN,KING STREET,SoHo-TriBeCa-Civic Center-Little Italy
103786155,MANHATTAN,WEST   14 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
340738250,BROOKLYN,TOMPKINS AVENUE,Bedford
140916515,MANHATTAN,W 116TH STREET,Central Harlem South
340738269,BROOKLYN,GRANT AVENUE,Cypress Hills-City Line
103348959,MANHATTAN,NINTH AVENUE,West Village
340738287,BROOKLYN,97 STREET,Bay Ridge
103332421,MANHATTAN,EAST   32 STREET,Murray Hill-Kips Bay
340738278,BROOKLYN,METROPOLITAN AVENUE,East Williamsburg
104596439,MANHATTAN,7 AVENUE,Midtown-Midtown South
301095561,BROOKLYN,DITMAS AVENUE,Canarsie
301277482,BROOKLYN,PITKIN AVENUE,Brownsville
301277491,BROOKLYN,PITKIN AVENUE,Brownsville
301302622,BROOKLYN,MASPETH AVENUE,East Williamsburg
301995553,BROOKLYN,OCEAN PARKWAY,West Brighton
301995562,BROOKLYN,OCEAN PARKWAY,West Brighton
302016191,BROOKLYN,JEFFERSON AVENUE,Stuyvesant Heights
201116470,BRONX,EAST  217 STREET,Williamsbridge-Olinville
104882968,MANHATTAN,WEST  171 STREET,Washington Heights South
340738303,BROOKLYN,BROADWAY,Ocean Hill
340738330,BROOKLYN,NOSTRAND AVE,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
140916542,MANHATTAN,THIRD AVENUE,Turtle Bay-East Midtown
240276045,BRONX,WHITE PLAINS ROAD,West Farms-Bronx River
340738312,BROOKLYN,EAST 64 STREET,Georgetown-Marine Park-Bergen Beach-Mill Basin
421925732,QUEENS,169 STREET,Pomonok-Flushing Heights-Hillcrest
240276027,BRONX,STEPHENS AVE,Soundview-Castle Hill-Clason Point-Harding Park
140916597,MANHATTAN,WEST 45 STREET,Midtown-Midtown South
140916560,MANHATTAN,EAST 10TH STREET,West Village
140916588,MANHATTAN,WEST 56 STREET,Midtown-Midtown South
540177182,STATEN ISLAND,CORTLANDT STREET,Westerleigh
140916604,MANHATTAN,PARK AVENUE,Turtle Bay-East Midtown
140916579,MANHATTAN,WEST 44 STREET,Midtown-Midtown South
240276054,BRONX,DEKALB AVENUE,Norwood
140916659,MANHATTAN,FIFTH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
440601984,QUEENS,NORTHERN BLVD,Hunters Point-Sunnyside-West Maspeth
340738349,BROOKLYN,MCDONALD AVENUE,Gravesend
140916631,MANHATTAN,PARK AVENUE,Turtle Bay-East Midtown
140821234,MANHATTAN,EAST 61 STREET,Lenox Hill-Roosevelt Island
440601993,QUEENS,COOPER AVENUE,Glendale
540177208,STATEN ISLAND,FOREST STREET,New Springville-Bloomfield-Travis
140916695,MANHATTAN,BROADWAY,Morningside Heights
340738358,BROOKLYN,VANDERBILT AVENUE,Clinton Hill
340738367,BROOKLYN,FULTON STREET,Clinton Hill
140916686,MANHATTAN,1ST PLACE,
240276063,BRONX,EAST 138 STREET,Mott Haven-Port Morris
140916711,MANHATTAN,PARK AVENUE,Upper East Side-Carnegie Hill
440602000,QUEENS,130TH STREET,South Ozone Park
140916677,MANHATTAN,PARK AVENUE,Turtle Bay-East Midtown
440602019,QUEENS,NORTHERN BOULEVARD,Bayside-Bayside Hills
140916748,MANHATTAN,WEST 38 STREET,Midtown-Midtown South
440602028,QUEENS,PARSONS BLVD,Queensboro Hill
340738376,BROOKLYN,LENOX ROAD,Prospect Lefferts Gardens-Wingate
540177235,STATEN ISLAND,SOUTH AVE,New Springville-Bloomfield-Travis
140916720,MANHATTAN,PARK AVENUE SOUTH,Gramercy
240276072,BRONX,SOUTHERN BOULEVARD,Hunts Point
540177244,STATEN ISLAND,RICHMOND AVENUE,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
340738401,BROOKLYN,76 STREET,Dyker Heights
240276107,BRONX,BRYANT AVENUE,Crotona Park East
340738394,BROOKLYN,CLERMONT AVENUE,Fort Greene
240276081,BRONX,SOUTHERN BOULEVARD,Hunts Point
140916766,MANHATTAN,MADISON AVENUE,Murray Hill-Kips Bay
140916757,MANHATTAN,PARK AVENUE SOUTH,Gramercy
140916775,MANHATTAN,RECTOR PLACE,Battery Park City-Lower Manhattan
210181373,BRONX,BOSTON ROAD,Morrisania-Melrose
340738410,BROOKLYN,PARKSIDE AVENUE,Prospect Lefferts Gardens-Wingate
140916800,MANHATTAN,WEST 179TH STREET,Washington Heights South
140916793,MANHATTAN,EAST 30TH STREET,Murray Hill-Kips Bay
520454516,STATEN ISLAND,HYLAN BLVD,Old Town-Dongan Hills-South Beach
520454525,STATEN ISLAND,WIMAN AVE,Great Kills
440602064,QUEENS,249ST,Bellerose
140916819,MANHATTAN,WEST 61ST STREET,Lincoln Square
440602082,QUEENS,115 AVENUE,South Ozone Park
240276125,BRONX,SOUTHERN BOULEVARD,Hunts Point
240276143,BRONX,LONGWOOD AVENUE,Hunts Point
440602073,QUEENS,SANTIAGO STREET,Jamaica Estates-Holliswood
440602091,QUEENS,NORTHERN BOULEVARD,Bayside-Bayside Hills
540177253,STATEN ISLAND,ROBINSON AVENUE,Great Kills
140916864,MANHATTAN,WEST 8TH STREET,West Village
340738456,BROOKLYN,EAST 93 STREET,Rugby-Remsen Village
140916873,MANHATTAN,EAST 16TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
540177262,STATEN ISLAND,ROBINSON AVENUE,Great Kills
340738447,BROOKLYN,1ST PLACE,Carroll Gardens-Columbia Street-Red Hook
340738465,BROOKLYN,AVENUE I,Flatbush
140916926,MANHATTAN,WEST 34TH STREET,Midtown-Midtown South
140916917,MANHATTAN,EAST 79TH STREET,Lenox Hill-Roosevelt Island
140916935,MANHATTAN,FIFTH AVENUE,Midtown-Midtown South
440602108,QUEENS,NORTHERN BOULEVARD,Bayside-Bayside Hills
340738474,BROOKLYN,CLINTON AVENUE,Clinton Hill
340738492,BROOKLYN,52ND STREET,Sunset Park West
240276161,BRONX,DEKALB AVENUE,Norwood
440602126,QUEENS,NORTHERN BOULEVARD,Bayside-Bayside Hills
140916962,MANHATTAN,WEST 72ND STREET,Lincoln Square
140916971,MANHATTAN,FIFTH AVENUE,Midtown-Midtown South
140916944,MANHATTAN,EAST 79TH STREET,Lenox Hill-Roosevelt Island
140916980,MANHATTAN,EAST 79TH STREET,Lenox Hill-Roosevelt Island
340738562,BROOKLYN,HENRY STREET,Brooklyn Heights-Cobble Hill
540177280,STATEN ISLAND,MASON AVENUE,New Dorp-Midland Beach
140916999,MANHATTAN,PARK AVENUE,East Harlem South
123547251,MANHATTAN,EAST 87TH STREET,Upper East Side-Carnegie Hill
140917006,MANHATTAN,SECOND AVENUE,East Village
421713676,QUEENS,130TH STREET,South Ozone Park
340738535,BROOKLYN,HENRY STREET,Brooklyn Heights-Cobble Hill
440602144,QUEENS,COOLIDGE AVENUE,Briarwood-Jamaica Hills
123512430,MANHATTAN,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
440602171,QUEENS,57TH ROAD,Maspeth
140917015,MANHATTAN,2ND AVENUE,Turtle Bay-East Midtown
140917042,MANHATTAN,LUDLOW STREET,Chinatown
340738580,BROOKLYN,CONSELYEA ST,East Williamsburg
140917033,MANHATTAN,WEST 45 STREET,Midtown-Midtown South
322036881,BROOKLYN,JOHNSON AVE,East Williamsburg
440602162,QUEENS,BLEECKER STREET,Ridgewood
340738599,BROOKLYN,6TH STREET,Park Slope-Gowanus
340738606,BROOKLYN,HINSDALE STREET,East New York (Pennsylvania Ave)
340738615,BROOKLYN,LEONARD STREET,East Williamsburg
340738624,BROOKLYN,WILLOUGHBY STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
140917088,MANHATTAN,BATTERY PLACE,Battery Park City-Lower Manhattan
140917079,MANHATTAN,12TH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
140917097,MANHATTAN,WEST STREET,West Village
140917104,MANHATTAN,WEST STREET,West Village
140917113,MANHATTAN,PARK AVENUE,Turtle Bay-East Midtown
140917122,MANHATTAN,WEST 24TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
140917131,MANHATTAN,PARK AVENUE,Turtle Bay-East Midtown
340738660,BROOKLYN,CONEY ISLAND AVE,Homecrest
340738651,BROOKLYN,WILLOUGHBY STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
302186195,BROOKLYN,PRESIDENT STREET,Crown Heights North
401132573,QUEENS,45 ROAD,Bayside-Bayside Hills
401390918,QUEENS,METROPOLITAN AVENUE,Ridgewood
210121116,BRONX,WEST 254TH STREET,North Riverdale-Fieldston-Riverdale
210113900,BRONX,MANIDA STREET,Hunts Point
420013960,QUEENS,28TH STREET,Queensbridge-Ravenswood-Long Island City
110198553,MANHATTAN,WEST 96 STREET,Upper West Side
440602199,QUEENS,116 STREET,Richmond Hill
340738688,BROOKLYN,BAY RIDGE PARKWAY,Dyker Heights
220007622,BRONX,MANIDA STREET,Hunts Point
220096027,BRONX,MANIDA STREET,Hunts Point
320448226,BROOKLYN,AVENUE U,Bensonhurst East
121109576,MANHATTAN,SPRING STREET,SoHo-TriBeCa-Civic Center-Little Italy
340053284,BROOKLYN,EAST 15TH STREET,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
121328660,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
121759365,MANHATTAN,WEST 122ND STREET,Central Harlem South
121328660,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
320384026,BROOKLYN,FRANKLIN AVE,Bedford
220284083,BRONX,BUCHANAN PLACE,University Heights-Morris Heights
121328660,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
121328660,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
420901947,QUEENS,ELLWELL CRESCENT,Rego Park
121810479,MANHATTAN,WEST 122ND STREET,Central Harlem South
121328660,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
121891783,MANHATTAN,WEST 72ND STREET,Lincoln Square
121944030,MANHATTAN,WEST 122 ST,Central Harlem South
121957882,MANHATTAN,WEST 122ND STREET,Central Harlem South
320933736,BROOKLYN,MENAHAN STREET,Bushwick North
340158992,BROOKLYN,41 STREET,Sunset Park East
402892205,QUEENS,SKILLMAN AVENUE,Woodside
340232297,BROOKLYN,9TH AVENUE,Borough Park
321093598,BROOKLYN,HART STREET,Bushwick South
302581597,BROOKLYN,CATON AVENUE,Windsor Terrace
321042527,BROOKLYN,MYRTLE AVE,Bedford
520236619,STATEN ISLAND,CLIFFWOOD AVENUE,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
402896933,QUEENS,SKILLMAN AVENUE,Woodside
103646994,MANHATTAN,MONROE,Lower East Side
402895916,QUEENS,SKILLMAN AVENUE,Woodside
440234774,QUEENS,69 RD,Forest Hills
321166395,BROOKLYN,63TH STREET,Bensonhurst West
440243835,QUEENS,134TH STREET,South Ozone Park
240111213,BRONX,MANIDA STREET,Hunts Point
440247984,QUEENS,203RD STREET,St. Albans
421216295,QUEENS,120 STREET,College Point
122632375,MANHATTAN,WEST 122ND STREET,Central Harlem South
140408011,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
321254209,BROOKLYN,WEST ST.,Greenpoint
440298394,QUEENS,BEACH 69 STREET,Hammels-Arverne-Edgemere
440302771,QUEENS,46 AVENUE,Hunters Point-Sunnyside-West Maspeth
420656775,QUEENS,196TH PLACE,Fresh Meadows-Utopia
421098984,QUEENS,137TH AVENUE,Laurelton
321363332,BROOKLYN,BERGEN STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
321357072,BROOKLYN,METROPOLITAN AVENUE,East Williamsburg
321426293,BROOKLYN,MANHATTAN AVENUE,Greenpoint
220523360,BRONX,MORRIS AVE,Fordham South
201196810,BRONX,WEST MOSHOLU PARKWAY SOUTH,Van Cortlandt Village
240161882,BRONX,W. 261ST STREET,North Riverdale-Fieldston-Riverdale
220559946,BRONX,JEROME AVENUE,University Heights-Morris Heights
121191272,MANHATTAN,8 AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
220576721,BRONX,JENNINGS STREET,Crotona Park East
220576721,BRONX,JENNINGS STREET,Crotona Park East
220576721,BRONX,JENNINGS STREET,Crotona Park East
220576721,BRONX,JENNINGS STREET,Crotona Park East
421103095,QUEENS,SKILLMAN AVENUE,Woodside
122835423,MANHATTAN,WEST 29 STREET,Midtown-Midtown South
220577418,BRONX,CAROLL STREET,Pelham Bay-Country Club-City Island
240176518,BRONX,REVERE AVENUE,Schuylerville-Throgs Neck-Edgewater Park
123045622,MANHATTAN,8TH AVENUE,Midtown-Midtown South
421475665,QUEENS,VAN WYCK EXPRESSWAY,Richmond Hill
421480953,QUEENS,159 ST,Murray Hill
123045622,MANHATTAN,8TH AVENUE,Midtown-Midtown South
321476014,BROOKLYN,LYNCH ST,Bedford
421405152,QUEENS,186 STREET,Auburndale
122980177,MANHATTAN,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
321193757,BROOKLYN,MYRTLE AVENUE,Bushwick South
421525558,QUEENS,244TH ST.,Bellerose
220605138,BRONX,MANIDA STREET,Hunts Point
302575087,BROOKLYN,UNION STREET,Carroll Gardens-Columbia Street-Red Hook
321587804,BROOKLYN,GREENPOINT AVENUE,Greenpoint
321608131,BROOKLYN,EASTERN PARKWAY,Prospect Heights
421106056,QUEENS,SKILLMAN AVENUE,Woodside
421548864,QUEENS,82ND STREET,Elmhurst
321679983,BROOKLYN,58TH STREET,Sunset Park East
123257965,MANHATTAN,WEST 36TH STREET,Midtown-Midtown South
321628869,BROOKLYN,60TH ST,Sunset Park East
321692557,BROOKLYN,MCDONALD AVE,Windsor Terrace
121204428,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
421563748,QUEENS,89 STREET,Woodhaven
421585323,QUEENS,94TH AVENUE,Jamaica
321686396,BROOKLYN,UTICA AVENUE,Crown Heights North
123106842,MANHATTAN,EAST 13TH STREET,East Village
121204428,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
123209777,MANHATTAN,PEARL STREET,Battery Park City-Lower Manhattan
121204428,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
340582989,BROOKLYN,W 9 ST,Bensonhurst East
340585343,BROOKLYN,11 STREET,Park Slope-Gowanus
123208992,MANHATTAN,3RD AVE,Turtle Bay-East Midtown
123360399,MANHATTAN,3RD AVE,Turtle Bay-East Midtown
321793902,BROOKLYN,FRANKLIN AVE,Bedford
421605294,QUEENS,BEACH 141 STREET,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
520329403,STATEN ISLAND,MAIN STREET,Charleston-Richmond Valley-Tottenville
421622220,QUEENS,VERNON BLVD,Hunters Point-Sunnyside-West Maspeth
321742799,BROOKLYN,4 AVENUE,Sunset Park West
321490061,BROOKLYN,DEGRAW STREET,Carroll Gardens-Columbia Street-Red Hook
340600941,BROOKLYN,GRAND STREET,North Side-South Side
520330455,STATEN ISLAND,MAPLETON AVENUE,New Dorp-Midland Beach
321679983,BROOKLYN,58TH STREET,Sunset Park East
421613999,QUEENS,209 STREET,Bayside-Bayside Hills
123600077,MANHATTAN,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
121204428,MANHATTAN,3RD AVENUE,Turtle Bay-East Midtown
321773041,BROOKLYN,BERRY STREET,North Side-South Side
321789114,BROOKLYN,3 AVENUE,Sunset Park West
321773522,BROOKLYN,KENT AVE,North Side-South Side
123477950,MANHATTAN,ATTORNEY STREET,Lower East Side
220490252,BRONX,EAST TREMONT AVENUE,Van Nest-Morris Park-Westchester Square
320912955,BROOKLYN,BERGEN STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
321717772,BROOKLYN,5 STREET,Park Slope-Gowanus
321774237,BROOKLYN,TOMPKINS AVE,Bedford
302583817,BROOKLYN,STILLWELL AVENUE,Bensonhurst East
440502779,QUEENS,DOUGLASTON PARKWAY,Douglas Manor-Douglaston-Little Neck
321807247,BROOKLYN,MANHATTAN AVENUE,Greenpoint
121188678,MANHATTAN,FRANKLIN STREET,SoHo-TriBeCa-Civic Center-Little Italy
220662735,BRONX,GOULDEN AVENUE,Van Cortlandt Village
421624460,QUEENS,POPLE AVE,Flushing
240232379,BRONX,CROTONA AVENUE,Belmont
321815522,BROOKLYN,QUINCY STREET,Bedford
321831924,BROOKLYN,PINE ST,East New York
321815568,BROOKLYN,FLATBUSH AVE,Erasmus
123539545,MANHATTAN,EAST 17TH STREET,Gramercy
321834388,BROOKLYN,16 AVENUE,Borough Park
320911536,BROOKLYN,LAFAYETTE AVENUE,Bushwick South
320911545,BROOKLYN,LAFAYETTE AVENUE,Bushwick South
520360350,STATEN ISLAND,DOUGLAS AVE,New Brighton-Silver Lake
321852223,BROOKLYN,E 17 STREET,Madison
421626841,QUEENS,HILLSIDE AVENUE,Richmond Hill
321384523,BROOKLYN,BAY STREET,Carroll Gardens-Columbia Street-Red Hook
340641194,BROOKLYN,HUNTERFLY PLACE,Crown Heights North
421693019,QUEENS,77 ROAD,Pomonok-Flushing Heights-Hillcrest
421696953,QUEENS,GRAND CENTRAL PARKWAY,Glen Oaks-Floral Park-New Hyde Park
302584889,BROOKLYN,WEST 13TH STREET,Bensonhurst East
520364070,STATEN ISLAND,SOUTH AVE,New Springville-Bloomfield-Travis
321070265,BROOKLYN,23RD STREET,Sunset Park West
421698292,QUEENS,71ST AVENUE,Forest Hills
302584647,BROOKLYN,LENOX ROAD,Rugby-Remsen Village
123597312,MANHATTAN,7TH AVENUE,Midtown-Midtown South
321905015,BROOKLYN,61ST STREET,Sunset Park East
220678719,BRONX,MANIDA,Hunts Point
321906817,BROOKLYN,GRAHAM AVENUE,East Williamsburg
321670152,BROOKLYN,PUTNAM AVENUE,Bushwick South
421721541,QUEENS,THOMSON AVE,Hunters Point-Sunnyside-West Maspeth
220681689,BRONX,MORRIS AVENUE,Mount Hope
123404084,MANHATTAN,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
103651095,MANHATTAN,EAST 12 STREET,Lower East Side
140827522,MANHATTAN,BROADWAY,Battery Park City-Lower Manhattan
321921346,BROOKLYN,HALSEY STREET,Stuyvesant Heights
321921346,BROOKLYN,HALSEY STREET,Stuyvesant Heights
220689404,BRONX,EAST 149TH STREET,Melrose South-Mott Haven North
220689404,BRONX,EAST 149TH STREET,Melrose South-Mott Haven North
440535048,QUEENS,JACKSON AVENUE,Hunters Point-Sunnyside-West Maspeth
123533765,MANHATTAN,MADISON AVENUE,Midtown-Midtown South
123680588,MANHATTAN,EAST 91ST STREET,Yorkville
321908511,BROOKLYN,DRIGGS AVENUE,North Side-South Side
321069197,BROOKLYN,LENOX ROAD,Prospect Lefferts Gardens-Wingate
140834890,MANHATTAN,DOWNING STREET,West Village
123852946,MANHATTAN,READE STREET,SoHo-TriBeCa-Civic Center-Little Italy
421930389,QUEENS,HILLSIDE AVENUE,Bellerose
220691847,BRONX,GRAND CONCOURSE,Mott Haven-Port Morris
421893115,QUEENS,BRATTLE AVE,Douglas Manor-Douglaston-Little Neck
220689182,BRONX,MANIDA STREET,Hunts Point
321929776,BROOKLYN,KINGS PL,Bensonhurst East
340664249,BROOKLYN,ROCHESTER AVE,Crown Heights North
421930147,QUEENS,103 AVENUE,South Ozone Park
140838360,MANHATTAN,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
321930915,BROOKLYN,FLUSHING AVENUE,park-cemetery-etc-Brooklyn
340672436,BROOKLYN,MCDONALD AVE,Windsor Terrace
123730436,MANHATTAN,LUDLOW STREET,Chinatown
321954220,BROOKLYN,MILTON STREET,Greenpoint
210179260,BRONX,WATSON AVENUE,Soundview-Bruckner
321934975,BROOKLYN,BAY 20 STREET,Bensonhurst West
123808237,MANHATTAN,FIFTH AVENUE,Murray Hill-Kips Bay
220670030,BRONX,MANIDA STREET,Hunts Point
321987999,BROOKLYN,57TH STREET,Borough Park
340676860,BROOKLYN,JAY STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
321990958,BROOKLYN,BELMONT AVENUE,East New York
321957496,BROOKLYN,BAYRIDGE PARKWAY,Dyker Heights
240255308,BRONX,MANIDA,Hunts Point
321958501,BROOKLYN,MONTAGUE STREET,Brooklyn Heights-Cobble Hill
500875957,STATEN ISLAND,WAVERLY PLACE,Stapleton-Rosebank
140842818,MANHATTAN,8TH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
123902232,MANHATTAN,WILLIAM STREET,Battery Park City-Lower Manhattan
123902232,MANHATTAN,WILLIAM STREET,Battery Park City-Lower Manhattan
421918483,QUEENS,ATLANTIC AVE,Richmond Hill
421918483,QUEENS,ATLANTIC AVE,Richmond Hill
123722258,MANHATTAN,MADISON AVENUE,Midtown-Midtown South
123722258,MANHATTAN,MADISON AVENUE,Midtown-Midtown South
340681596,BROOKLYN,FIRST PLACE,Carroll Gardens-Columbia Street-Red Hook
340683433,BROOKLYN,FULTON ST,Stuyvesant Heights
123722258,MANHATTAN,MADISON AVENUE,Midtown-Midtown South
123753633,MANHATTAN,WEST 46 STREET,Clinton
123811394,MANHATTAN,FIFTH AVE,West Village
123782807,MANHATTAN,WEST 99TH STREET,Upper West Side
123774610,MANHATTAN,LEONARD STREET,SoHo-TriBeCa-Civic Center-Little Italy
123774610,MANHATTAN,LEONARD STREET,SoHo-TriBeCa-Civic Center-Little Italy
220662735,BRONX,GOULDEN AVENUE,Van Cortlandt Village
321974048,BROOKLYN,EAST 9 STREET,Ocean Parkway South
123810439,MANHATTAN,10TH AVENUE,Clinton
421734181,QUEENS,262 STREET,Glen Oaks-Floral Park-New Hyde Park
220710504,BRONX,ANDREWS AVENUE SOUTH,University Heights-Morris Heights
421736973,QUEENS,43 AVENUE,Corona
123880899,MANHATTAN,EAST 22ND STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123822961,MANHATTAN,EAST 55TH STREET,Midtown-Midtown South
321718628,BROOKLYN,EAST 18 STREET,Midwood
321594770,BROOKLYN,CARROLL STREET,Carroll Gardens-Columbia Street-Red Hook
321979043,BROOKLYN,PARK PLACE,Prospect Heights
421736376,QUEENS,FRESH MEADOW LANE,Fresh Meadows-Utopia
340693681,BROOKLYN,EAST 88 STREET,Canarsie
340694680,BROOKLYN,LEGION STREET,Brownsville
123882469,MANHATTAN,BOWERY,Chinatown
240261863,BRONX,FARADAY AVENUE,North Riverdale-Fieldston-Riverdale
123818761,MANHATTAN,WEST 34TH STREET,Midtown-Midtown South
220658740,BRONX,DAVIDSON AVENUE,University Heights-Morris Heights
321985170,BROOKLYN,CLINTON STREET,Carroll Gardens-Columbia Street-Red Hook
321941048,BROOKLYN,HUMBOLDT STREET,Bushwick South
321597991,BROOKLYN,BARTLETT STREET,Bedford
421918553,QUEENS,LEFFERTS BOULEVARD,Kew Gardens
340699168,BROOKLYN,WEST 10TH STREET,Bensonhurst East
420666309,QUEENS,99 STREET,Forest Hills
123884706,MANHATTAN,WEST 72 STREET,Lincoln Square
321996989,BROOKLYN,AVENUE N,Flatlands
321996961,BROOKLYN,AVE N,Flatlands
321969535,BROOKLYN,NEW YORK AVENUE,East Flatbush-Farragut
421910187,QUEENS,ESSEX WALK,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
322011951,BROOKLYN,NEW YORK AVENUE,East Flatbush-Farragut
321597991,BROOKLYN,BARTLETT STREET,Bedford
321999316,BROOKLYN,W 3 ST,Bensonhurst East
322011265,BROOKLYN,3 AVE,Bay Ridge
421674995,QUEENS,110 AVENUE,Queens Village
