Job #,Borough,House #,Street Name,GIS_NTA_NAME
421736376,QUEENS,61-19,FRESH MEADOW LANE,Fresh Meadows-Utopia
340693681,BROOKLYN,918,EAST 88 STREET,Canarsie
340694680,BROOKLYN,202,LEGION STREET,Brownsville
123882469,MANHATTAN,215,BOWERY,Chinatown
240261863,BRONX,5738,FARADAY AVENUE,North Riverdale-Fieldston-Riverdale
123818761,MANHATTAN,225,WEST 34TH STREET,Midtown-Midtown South
220658740,BRONX,2265,DAVIDSON AVENUE,University Heights-Morris Heights
321985170,BROOKLYN,431,CLINTON STREET,Carroll Gardens-Columbia Street-Red Hook
321941048,BROOKLYN,195,HUMBOLDT STREET,Bushwick South
321597991,BROOKLYN,78,BARTLETT STREET,Bedford
421918553,QUEENS,84-47,LEFFERTS BOULEVARD,Kew Gardens
340699168,BROOKLYN,2129,WEST 10TH STREET,Bensonhurst East
420666309,QUEENS,62-17,99 STREET,Forest Hills
123884706,MANHATTAN,121,WEST 72 STREET,Lincoln Square
321996989,BROOKLYN,2921,AVENUE N,Flatlands
321996961,BROOKLYN,2915,AVE N,Flatlands
321969535,BROOKLYN,1296 GAR,NEW YORK AVENUE,East Flatbush-Farragut
421910187,QUEENS,8,ESSEX WALK,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
322011951,BROOKLYN,1296,NEW YORK AVENUE,East Flatbush-Farragut
321597991,BROOKLYN,78,BARTLETT STREET,Bedford
321999316,BROOKLYN,1787,W 3 ST,Bensonhurst East
322011265,BROOKLYN,9964,3 AVE,Bay Ridge
421674995,QUEENS,212-10,110 AVENUE,Queens Village
440571418,QUEENS,69-36,CALDWELL AVENUE,Middle Village
321994437,BROOKLYN,1065,80 STREET,Dyker Heights
321963087,BROOKLYN,1513,NOSTRAND AVENUE,Erasmus
123785243,MANHATTAN,115,DELANCEY STREET,Chinatown
421736376,QUEENS,61-19,FRESH MEADOW LANE,Fresh Meadows-Utopia
421730808,QUEENS,42-36,149TH PLACE,East Flushing
520385814,STATEN ISLAND,78,TILSON PLACE,Stapleton-Rosebank
123740210,MANHATTAN,425,WEST 57 STREET,Clinton
421906263,QUEENS,114-21,158 STREET,Baisley Park
321783664,BROOKLYN,33,LINCOLN PLACE,Park Slope-Gowanus
340705696,BROOKLYN,289,22 STREET,Sunset Park West
123789873,MANHATTAN,311,WEST 43RD STREET,Clinton
123773666,MANHATTAN,220,EAST 72ND STREET,Lenox Hill-Roosevelt Island
340708247,BROOKLYN,393,WARWICK STREET,East New York
123847249,MANHATTAN,667,MADISON AVENUE,Upper East Side-Carnegie Hill
321596322,BROOKLYN,314,DEAN STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
421779631,QUEENS,64-56,AUSTIN STREET,Rego Park
421778552,QUEENS,106-10,ROCKAWAY BLVD,South Ozone Park
220721146,BRONX,926,SOUTHERN BOULEVARD,Hunts Point
140881357,MANHATTAN,62,WEST 45TH STREET,Midtown-Midtown South
140881375,MANHATTAN,62,WEST 45TH STREET,Midtown-Midtown South
421780834,QUEENS,47-25,34TH STREET,Hunters Point-Sunnyside-West Maspeth
321596484,BROOKLYN,210,CLARKSON AVENUE,Prospect Lefferts Gardens-Wingate
421778400,QUEENS,81-32,189 STREET,Jamaica Estates-Holliswood
321596484,BROOKLYN,210,CLARKSON AVENUE,Prospect Lefferts Gardens-Wingate
220701792,BRONX,1936,EDISON AVENUE,Pelham Bay-Country Club-City Island
421780291,QUEENS,137-39GAR,LABURNUM AVE,Flushing
220722430,BRONX,950,E 225 STREET,Williamsbridge-Olinville
440580578,QUEENS,94-43,118TH STREET,Richmond Hill
123802251,MANHATTAN,118,WEST 57 STREET,Midtown-Midtown South
421938899,QUEENS,69-20GAR,JUNIPER VALLEY ROAD,Middle Village
210180533,BRONX,2455,THIRD AVENUE,Mott Haven-Port Morris
210180533,BRONX,2455,THIRD AVENUE,Mott Haven-Port Morris
210180533,BRONX,2455,THIRD AVENUE,Mott Haven-Port Morris
421781432,QUEENS,150-21,16TH ROAD,Whitestone
322006627,BROOKLYN,179,LOTT STREET,Erasmus
123728984,MANHATTAN,650,WEST 168 STREET,Washington Heights South
421782459,QUEENS,79-19GAR,60 LANE,Glendale
421661160,QUEENS,87-09 GAR,97 AVE,Woodhaven
421801214,QUEENS,15,BAYSIDE,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
520397516,STATEN ISLAND,19,GRIDLEY AVENUE,Mariner's Harbor-Arlington-Port Ivory-Graniteville
510114029,STATEN ISLAND,1000,WEST SERVICE ROAD,New Springville-Bloomfield-Travis
322022315,BROOKLYN,2730,OCEAN AVENUE,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
220724107,BRONX,105,EAST 177 STREET,Mount Hope
420666791,QUEENS,173-07,GRAND CENTRAL PKWY,Pomonok-Flushing Heights-Hillcrest
220724508,BRONX,100,CARVER LOOP,Co-op City
322032518,BROOKLYN,343,GOLD STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
321588377,BROOKLYN,1607,PACIFIC STREET,Crown Heights North
121206970,MANHATTAN,1981,MADISON AVENUE,Central Harlem North-Polo Grounds
321588162,BROOKLYN,147,UTICA AVE,Crown Heights North
121207112,MANHATTAN,112,E 40TH STREET,Murray Hill-Kips Bay
421798184,QUEENS,146-80,181 ST,Springfield Gardens South-Brookville
210180720,BRONX,625,BROOK AVENUE,Melrose South-Mott Haven North
440584896,QUEENS,177-17,106 ROAD,South Jamaica
421952587,QUEENS,26-31,3RD STREET,Old Astoria
321588279,BROOKLYN,176,QUINCY STREET,Bedford
240268982,BRONX,3555,BRUCKNER BLVD,Pelham Bay-Country Club-City Island
121206970,MANHATTAN,1981,MADISON AVENUE,Central Harlem North-Polo Grounds
322042669,BROOKLYN,195,8TH STREET,Park Slope-Gowanus
140887967,MANHATTAN,250,EAST 87 STREET,Yorkville
421943231,QUEENS,110-45,71 RD,Forest Hills
123700511,MANHATTAN,520,PARK AVENUE,Upper East Side-Carnegie Hill
322068800,BROOKLYN,330,50 STREET,Sunset Park West
421912256,QUEENS,30-68,37 STREET,Astoria
123844554,MANHATTAN,25,CLEVELAND PLACE,SoHo-TriBeCa-Civic Center-Little Italy
520399097,STATEN ISLAND,47,SHEPARD AVE,New Springville-Bloomfield-Travis
322071191,BROOKLYN,270,19 STREET,Park Slope-Gowanus
210180846,BRONX,1384,TELLER AVENUE,East Concourse-Concourse Village
322072163,BROOKLYN,2046,WEST 7 STREET,Bensonhurst East
322044970,BROOKLYN,111,ORIENTAL BLVD,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
123857184,MANHATTAN,733,THIRD AVENUE,Turtle Bay-East Midtown
123830998,MANHATTAN,866,UNITED NATIONS PLAZA,Turtle Bay-East Midtown
220728595,BRONX,1316,KEARNEY AVENUE,Pelham Bay-Country Club-City Island
322071510,BROOKLYN,1946,OCEAN AVENUE,Midwood
421606444,QUEENS,80-27,217 ST.,Oakland Gardens
421958698,QUEENS,35-63,95 STREET,Jackson Heights
220728452,BRONX,1626,SEDGWICK AVENUE,University Heights-Morris Heights
140891202,MANHATTAN,323,BLEECKER STREET,West Village
440589392,QUEENS,22412,95TH AVENUE,Queens Village
140891694,MANHATTAN,70,E 4TH ST,East Village
322030235,BROOKLYN,820,LINCOLN PLACE,Crown Heights North
321589857,BROOKLYN,138,SCHAEFER ST,Bushwick South
421948879,QUEENS,217-06,64 AVENUE,Oakland Gardens
123843485,MANHATTAN,598,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
520451261,STATEN ISLAND,292,MOUNTAINVIEW AVENUE,New Springville-Bloomfield-Travis
140892862,MANHATTAN,350,FIFTH AVENUE,Midtown-Midtown South
140893683,MANHATTAN,1568 AIR,BROADWAY,Midtown-Midtown South
123833771,MANHATTAN,44,EAST 12TH STREET,West Village
140894922,MANHATTAN,55,LIBERTY STREET,Battery Park City-Lower Manhattan
123887810,MANHATTAN,345,EAST 93 STREET,Yorkville
140893530,MANHATTAN,281,WEST 11 STREET,West Village
440591076,QUEENS,10-43,44 DRIVE,Hunters Point-Sunnyside-West Maspeth
421961425,QUEENS,192-08,JAMAICA AVE,Hollis
321974048,BROOKLYN,1134,EAST 9 STREET,Ocean Parkway South
421899627,QUEENS,171-11,35TH AVENUE,Murray Hill
420667335,QUEENS,104-10,NORTHERN BLVD.,North Corona
140895075,MANHATTAN,62,BEACH STREET,SoHo-TriBeCa-Civic Center-Little Italy
322034954,BROOKLYN,61,OLIVER ST,Bay Ridge
121207425,MANHATTAN,1249,5TH AVENUE,East Harlem South
240272129,BRONX,868,MANIDA STREET,Hunts Point
321589973,BROOKLYN,134,NORTH 6 STREET,North Side-South Side
123572384,MANHATTAN,600,W 114 ST,Morningside Heights
123878731,MANHATTAN,1878,7 AVE,Central Harlem South
321589697,BROOKLYN,101,GROVE STREET,Bushwick South
440594000,QUEENS,13633,222ND STREET,Laurelton
340727958,BROOKLYN,30,COLUMBIA HEIGHTS,Brooklyn Heights-Cobble Hill
140896582,MANHATTAN,32,GRAMERCY PARK SOUTH,Gramercy
421944855,QUEENS,814,EMPIRE AVE,Far Rockaway-Bayswater
121207620,MANHATTAN,384,GRAND STREET,Lower East Side
123910642,MANHATTAN,322,WEST 47TH STREET,Clinton
322084230,BROOKLYN,257,CHESTER ST,Brownsville
421902034,QUEENS,203-02,109TH AVENUE,Hollis
340725870,BROOKLYN,2619,OCEAN PARKWAY,Brighton Beach
240272307,BRONX,939,WOODYCREST AVENUE,Highbridge
421474899,QUEENS,14-78,BURTON STREET,Whitestone
140897304,MANHATTAN,107,EAST 61ST STREET,Upper East Side-Carnegie Hill
340725969,BROOKLYN,47,EAST 53 ST,Rugby-Remsen Village
440592495,QUEENS,43-20,56 ROAD,Hunters Point-Sunnyside-West Maspeth
440592510,QUEENS,115-15,101 AVENUE,Richmond Hill
140897652,MANHATTAN,1,TEST STREET,
440592538,QUEENS,96-12,SHORE FRONT PARKWAY,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
140897723,MANHATTAN,128,EAST 28TH STREET,Gramercy
140898562,MANHATTAN,1144,LEXINGTON AVENUE,Upper East Side-Carnegie Hill
123702939,MANHATTAN,150,COLUMBUS AVENUE,Lincoln Square
322088236,BROOKLYN,436,AVENUE Y,Gravesend
440592547,QUEENS,2503,40TH AVE,Queensbridge-Ravenswood-Long Island City
140898697,MANHATTAN,350,FIFTH AVENUE,Midtown-Midtown South
140898820,MANHATTAN,1155,AVENUE OF THE AMERICAS,Midtown-Midtown South
140899419,MANHATTAN,61,WEST 23RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123913006,MANHATTAN,360,WEST 55TH STREET,Clinton
440594091,QUEENS,25-31,22 STREET,Old Astoria
140898866,MANHATTAN,370,WEST END AVENUE,Upper West Side
140899142,MANHATTAN,1830,2 AVENUE,Yorkville
240272753,BRONX,2317,LODOVICK AVENUE,Allerton-Pelham Gardens
140899767,MANHATTAN,150,RIVINGTON STREET,Chinatown
240272780,BRONX,3819,ORLOFF AVENUE,Van Cortlandt Village
140899954,MANHATTAN,200,W 86 STREET,Upper West Side
123874110,MANHATTAN,137,EAST 15 STREET,Gramercy
140900559,MANHATTAN,137,WEST 122 STREET,Central Harlem South
340727262,BROOKLYN,150,52ND STREET,Sunset Park West
421763540,QUEENS,69-73,112 STREET,Forest Hills
440593500,QUEENS,10920,157TH STREET,South Jamaica
321589973,BROOKLYN,134,NORTH 6 STREET,North Side-South Side
140900782,MANHATTAN,75,NINTH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
140900791,MANHATTAN,75,NINTH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
140900862,MANHATTAN,94,READE STREET,SoHo-TriBeCa-Civic Center-Little Italy
140900933,MANHATTAN,2041,5TH AVENUE,Central Harlem North-Polo Grounds
321589580,BROOKLYN,647,MADISON STREET,Stuyvesant Heights
340727798,BROOKLYN,897,NEW YORK AVE,Erasmus
140901335,MANHATTAN,599,LEXINGTON AVENUE,Turtle Bay-East Midtown
321589857,BROOKLYN,138,SCHAEFER ST,Bushwick South
140901095,MANHATTAN,480,RIVERSIDE DRIVE,Morningside Heights
140902316,MANHATTAN,200,PARK AVENUE,Turtle Bay-East Midtown
123569352,MANHATTAN,299,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
140902290,MANHATTAN,1283,YORK AVENUE,Lenox Hill-Roosevelt Island
340728207,BROOKLYN,1903,BATCHELDER STREET,Madison
340728172,BROOKLYN,271,SAINT JAMES PLACE,Clinton Hill
322034972,BROOKLYN,68A,CLIFTON PL,Clinton Hill
140901503,MANHATTAN,3,TIMES SQUARE,Midtown-Midtown South
321589580,BROOKLYN,647,MADISON STREET,Stuyvesant Heights
240273191,BRONX,425,EAST FORDHAM ROAD,Belmont
140902370,MANHATTAN,200,PARK AVENUE,Turtle Bay-East Midtown
140902487,MANHATTAN,28,LIBERTY STREET,Battery Park City-Lower Manhattan
123913569,MANHATTAN,200,EAST 16TH STREET,Gramercy
421764870,QUEENS,82-11,37TH AVENUE,Jackson Heights
322085541,BROOKLYN,11,WEIRFIELD ST,Bushwick South
322044676,BROOKLYN,616,VANDERBILT STREET,Windsor Terrace
240273440,BRONX,63,EAST 233RD STREET,Woodlawn-Wakefield
440597267,QUEENS,194-32,114 DRIVE,St. Albans
140903495,MANHATTAN,316,WEST 19TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
340729402,BROOKLYN,368,NEW YORK AVENUE,Crown Heights South
340729395,BROOKLYN,372,13TH STREET,Park Slope-Gowanus
340729331,BROOKLYN,679,VAN SINDEREN AVENUE,East New York (Pennsylvania Ave)
140944405,MANHATTAN,211,1ST AVENUE,East Village
421765156,QUEENS,68-04,BURNS STREET,Forest Hills
440597374,QUEENS,157-34,QUINCE AVENUE,East Flushing
421765272,QUEENS,60-15,WOODBINE ST.,Ridgewood
123773666,MANHATTAN,220,EAST 72ND STREET,Lenox Hill-Roosevelt Island
140904706,MANHATTAN,110,CHAMBERS STREET,SoHo-TriBeCa-Civic Center-Little Italy
140904868,MANHATTAN,7,E 14TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
322086363,BROOKLYN,417,RUTLAND ROAD,Prospect Lefferts Gardens-Wingate
123909431,MANHATTAN,1049,5TH AVENUE,Upper East Side-Carnegie Hill
140905199,MANHATTAN,399,PARK AVENUE,Turtle Bay-East Midtown
123813221,MANHATTAN,41,EAST 21 ST,Hudson Yards-Chelsea-Flatiron-Union Square
420667647,QUEENS,350,BEACH 79 STREET,Hammels-Arverne-Edgemere
322086595,BROOKLYN,1121,49TH STREET,Borough Park
220732900,BRONX,4290,KATONAH AVENUE,Woodlawn-Wakefield
340730560,BROOKLYN,551,WARREN STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
140906090,MANHATTAN,56,WEST 11TH STREET,West Village
140906063,MANHATTAN,960,FIFTH AVENUE,Upper East Side-Carnegie Hill
340731042,BROOKLYN,1214,EAST 95 STREET,Canarsie
421763648,QUEENS,163-01,65 AVENUE,Pomonok-Flushing Heights-Hillcrest
140905705,MANHATTAN,12,EAST 22 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
140905956,MANHATTAN,66,WEST 89TH STREET,Upper West Side
340731319,BROOKLYN,8816,AVENUE M,Canarsie
440596320,QUEENS,121-31,5TH AVENUE,College Point
340731364,BROOKLYN,1562,BROOKLYN AVENUE,East Flatbush-Farragut
440596384,QUEENS,60-38,WETHEROLE STREET,Rego Park
340731408,BROOKLYN,192,BRIGHTON 10 STREET,Brighton Beach
340731417,BROOKLYN,766,EAST 48 STREET,East Flatbush-Farragut
140906376,MANHATTAN,1211,AVENUE OF THE AMERICAS,Midtown-Midtown South
240274136,BRONX,4380,BRONX BLVD,Woodlawn-Wakefield
421753604,QUEENS,81-06,37 AVE,Jackson Heights
440596482,QUEENS,196-15,116 AVENUE,St. Albans
340731541,BROOKLYN,399,CENTRAL AVENUE,Bushwick South
440596561,QUEENS,147-20,46 AVENUE,East Flushing
440596589,QUEENS,144-08,106 AVENUE,Jamaica
440596614,QUEENS,194-20,MURDOCK AVENUE,St. Albans
440596534,QUEENS,211-14,85 AVENUE,Oakland Gardens
440596598,QUEENS,60-49,GATES AVE,Ridgewood
440596455,QUEENS,100-03,NORTH CONDUIT AVE,Ozone Park
440596696,QUEENS,105-39,170 STREET,South Jamaica
140907464,MANHATTAN,521,WEST 57TH STREET,Clinton
140907491,MANHATTAN,477,MADISON AVENUE,Midtown-Midtown South
440596758,QUEENS,29-54,215 PLACE,Bayside-Bayside Hills
140907776,MANHATTAN,461,7TH AVENUE,Midtown-Midtown South
440596883,QUEENS,211-04,34 AVENUE,Bayside-Bayside Hills
440596892,QUEENS,209-24,112 AVENUE,Queens Village
140907589,MANHATTAN,34,EAST 4 STREET,West Village
440596945,QUEENS,120-11,171 STREET,Baisley Park
520398070,STATEN ISLAND,600,ANNADALE ROAD,Annadale-Huguenot-Prince's Bay-Eltingville
440597016,QUEENS,25-84,45 STREET,Astoria
440597196,QUEENS,117-35,143 STREET,Baisley Park
340731621,BROOKLYN,230,PARK PLACE,Prospect Heights
540176307,STATEN ISLAND,160,PORT RICHMOND AVE,Port Richmond
140908392,MANHATTAN,101,WEST 116TH STREET,Central Harlem South
340732078,BROOKLYN,1025,EAST 10TH STREET,Midwood
540176183,STATEN ISLAND,311,VIRGINIA AVENUE,Stapleton-Rosebank
440597819,QUEENS,40-35,162 ST,Murray Hill
440597828,QUEENS,40-37,162 ST,Murray Hill
340733013,BROOKLYN,1903,HOMECREST AVE,Homecrest
440598097,QUEENS,54-15,48TH STREET,Hunters Point-Sunnyside-West Maspeth
440598079,QUEENS,104-11,195 STREET,Hollis
440597640,QUEENS,79-26,214 ST,Oakland Gardens
440597935,QUEENS,235-09,148 ROAD,Springfield Gardens South-Brookville
540176316,STATEN ISLAND,753,EDGEGROVE AVENUE,Rossville-Woodrow
140910281,MANHATTAN,555,W 174TH ST,Washington Heights South
340733415,BROOKLYN,1931,BERGEN STREET,Ocean Hill
140910539,MANHATTAN,425,WEST 116TH STREET,Morningside Heights
440598471,QUEENS,84-24,259 STREET,Glen Oaks-Floral Park-New Hyde Park
140909961,MANHATTAN,133,WEST 25TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
140910209,MANHATTAN,639,WEST 59TH STREET,Lincoln Square
140910183,MANHATTAN,311,10TH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
140910557,MANHATTAN,23,E 10 ST,West Village
140910566,MANHATTAN,66,WEST 89TH STREET,Upper West Side
140910762,MANHATTAN,1931,MADISON AVENUE,East Harlem North
340733638,BROOKLYN,1000,EAST 98TH STREET,Canarsie
140910575,MANHATTAN,139,WEST 91ST STREET,Upper West Side
321592040,BROOKLYN,704,PRESIDENT STREET,Park Slope-Gowanus
240274840,BRONX,3933,WILDER AVENUE,Woodlawn-Wakefield
440598596,QUEENS,148-59,262 PLACE,Rosedale
540176575,STATEN ISLAND,47,VAN BRUNT STREET,Annadale-Huguenot-Prince's Bay-Eltingville
440598505,QUEENS,88-01,QUEENS BLVD.,Elmhurst
140911020,MANHATTAN,509,5 AVENUE,Midtown-Midtown South
220733534,BRONX,1062,EAST 211 STREET,Williamsbridge-Olinville
240275000,BRONX,2709,TIEMANN AVENUE,Allerton-Pelham Gardens
140911333,MANHATTAN,48,WEST 20TH ST,Hudson Yards-Chelsea-Flatiron-Union Square
340734325,BROOKLYN,7812,14 AVE,Dyker Heights
140911397,MANHATTAN,407,EAST 59TH STREET,Lenox Hill-Roosevelt Island
140911672,MANHATTAN,308,W 106 STREET,Upper West Side
340734478,BROOKLYN,1490,EAST 7 STREET,Ocean Parkway South
140911529,MANHATTAN,260,PARK AVENUE SOUTH,Hudson Yards-Chelsea-Flatiron-Union Square
140911663,MANHATTAN,431,RIVERSIDE DRIVE,Morningside Heights
140911538,MANHATTAN,170,2ND AVENUE,East Village
440599050,QUEENS,37-17,BOWNE STREET,Flushing
140911798,MANHATTAN,462,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
240275126,BRONX,343,EAST 173RD STREET,Mount Hope
340734584,BROOKLYN,393,EAST 93 STREET,Rugby-Remsen Village
140911832,MANHATTAN,188,COLUMBUS AVENUE,Lincoln Square
140912074,MANHATTAN,135,EAST 74 STREET,Upper East Side-Carnegie Hill
340735093,BROOKLYN,294,LEXINGTON AVE,Bedford
340735100,BROOKLYN,296,LEXINGTON AVE,Bedford
340734815,BROOKLYN,471,GATES AVENUE,Bedford
340734833,BROOKLYN,467,GATES AVENUE,Bedford
340734842,BROOKLYN,465,GATES AVENUE,Bedford
340734806,BROOKLYN,473,GATES AVENUE,Bedford
440599363,QUEENS,82-40,AUSTIN STREET,Kew Gardens
520453465,STATEN ISLAND,45,OCEAN AVENUE,Grasmere-Arrochar-Ft. Wadsworth
440599602,QUEENS,18-18,GATES AVENUE,Ridgewood
520453508,STATEN ISLAND,120,ANDROVETTE STREET,Charleston-Richmond Valley-Tottenville
340735315,BROOKLYN,8401,RIDGE BLVD,Bay Ridge
340735707,BROOKLYN,4823,FOSTER AVENUE,East Flatbush-Farragut
140912261,MANHATTAN,212,WEST 132ND STREET,Central Harlem North-Polo Grounds
140912902,MANHATTAN,30,EAST 81 STREET,Upper East Side-Carnegie Hill
340735949,BROOKLYN,11275,SEAVIEW AVENUE,Starrett City
421449043,QUEENS,99-01,162 AVENUE,Lindenwood-Howard Beach
340735967,BROOKLYN,157,PROSPECT PARK WEST,Park Slope-Gowanus
340735994,BROOKLYN,29,WYONA STREET,Cypress Hills-City Line
140913028,MANHATTAN,290,RIVERSIDE DRIVE,Upper West Side
440599719,QUEENS,96-19,95TH AVENUE,Woodhaven
140912788,MANHATTAN,53,HAMILTON TERRACE,Hamilton Heights
440600100,QUEENS,209-80,18 AVENUE,Ft. Totten-Bay Terrace-Clearview
440600173,QUEENS,172-30,93RD AVENUE,Jamaica
140913572,MANHATTAN,150,EAST 58TH STREET,Turtle Bay-East Midtown
340736065,BROOKLYN,113,NICHOLS AVENUE,Cypress Hills-City Line
421449052,QUEENS,112,NOEL ROAD,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
140913304,MANHATTAN,290,RIVERSIDE DRIVE,Upper West Side
421449061,QUEENS,99-73,163 ROAD,Lindenwood-Howard Beach
421449070,QUEENS,145,BROADWAY,Lindenwood-Howard Beach
340736145,BROOKLYN,2437,84 STREET,Bensonhurst East
140913830,MANHATTAN,508,WEST 114 STREET,Morningside Heights
440600404,QUEENS,28-15,14 STREET,Old Astoria
340736421,BROOKLYN,674,LAFAYETTE AVENUE,Bedford
140913750,MANHATTAN,368,9TH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
140913910,MANHATTAN,1619,BROADWAY,Midtown-Midtown South
440600360,QUEENS,150-11,114TH PLACE,South Ozone Park
140914027,MANHATTAN,1,PENN PLAZA,Midtown-Midtown South
440600510,QUEENS,50-31,MORENCI LANE,Douglas Manor-Douglaston-Little Neck
440600583,QUEENS,110-18,103 AVENUE,South Ozone Park
440600486,QUEENS,131-28,225 STREET,Laurelton
340736831,BROOKLYN,153,BERRY STREET,North Side-South Side
340736840,BROOKLYN,383,12TH STREET,Park Slope-Gowanus
340736733,BROOKLYN,380,GROVE ST,Bushwick North
421773450,QUEENS,28,BOULEVARD,Whitestone
440600477,QUEENS,61-71,56 STREET,Ridgewood
440600743,QUEENS,34-25,150 PLACE,Murray Hill
140914330,MANHATTAN,374,WEST 11 STREET,West Village
140914562,MANHATTAN,201,EAST 79TH STREET,Yorkville
140914704,MANHATTAN,253,BROADWAY,SoHo-TriBeCa-Civic Center-Little Italy
140914349,MANHATTAN,890,WEST END AVENUE,Upper West Side
440600814,QUEENS,32-39,104TH ST,East Elmhurst
340736939,BROOKLYN,8401,RIDGE BLVD,Bay Ridge
140914660,MANHATTAN,460,RIVERSIDE DRIVE,Morningside Heights
340737117,BROOKLYN,107,WILLOUGHBY STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
340737215,BROOKLYN,109,WILLOUGHBY STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
140914820,MANHATTAN,304,PARK AVE SOUTH,Hudson Yards-Chelsea-Flatiron-Union Square
140914875,MANHATTAN,304,PARK AVE SOUTH,Hudson Yards-Chelsea-Flatiron-Union Square
140915062,MANHATTAN,37,WEST 116 STREET,Central Harlem South
140915106,MANHATTAN,362,3 AVENUE,Gramercy
140914759,MANHATTAN,64,EAST 94 STRET,Upper East Side-Carnegie Hill
440600985,QUEENS,73-36,184 STREET,Fresh Meadows-Utopia
240275812,BRONX,4755,WHITE PLAINS RD,Woodlawn-Wakefield
140915348,MANHATTAN,445,PARK AVENUE,Turtle Bay-East Midtown
140915455,MANHATTAN,422,EAST 81ST STREET,Yorkville
421773487,QUEENS,38-38,216 ST,Bayside-Bayside Hills
540177057,STATEN ISLAND,60,HARRISON AVE,Port Richmond
140915366,MANHATTAN,105,EAST 106TH STREET,East Harlem South
340737572,BROOKLYN,1468,55TH STREET,Borough Park
440601555,QUEENS,43-39,35 STREET,Hunters Point-Sunnyside-West Maspeth
340737723,BROOKLYN,2762,HARWAY AVENUE,Gravesend
140915767,MANHATTAN,106,ELDRIDGE STREET,Chinatown
440601243,QUEENS,61-12,56 ROAD,Maspeth
340737750,BROOKLYN,807,MANHATTAN AVENUE,Greenpoint
140915838,MANHATTAN,1220,PARK AVENUE,Upper East Side-Carnegie Hill
440601699,QUEENS,57-28,PARSONS BLVD,Queensboro Hill
440601715,QUEENS,219-84,75TH AVENUE,Oakland Gardens
340737796,BROOKLYN,1946,OCEAN AVENUE,Midwood
440601680,QUEENS,98-10,64TH AVE,Forest Hills
340737910,BROOKLYN,2161,BAY RIDGE AVE,Bensonhurst West
240275956,BRONX,1,ORCHARD BEACH,park-cemetery-etc-Bronx
340738027,BROOKLYN,95,PROSPECT PARK WEST,park-cemetery-etc-Brooklyn
340738090,BROOKLYN,2366,EAST 28TH STREET,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
340738054,BROOKLYN,545,VANDERBILT AVENUE,Clinton Hill
220733730,BRONX,1241,ST. LAWRENCE AVENUE,Soundview-Bruckner
140916178,MANHATTAN,271,CENTRAL PARK WEST,Upper West Side
140916212,MANHATTAN,319,EAST 50 STREET,Turtle Bay-East Midtown
140916267,MANHATTAN,245,WEST 44 STREET,Midtown-Midtown South
440601920,QUEENS,84-54,DANIELS STREET,Briarwood-Jamaica Hills
322036845,BROOKLYN,1201,AVENUE K,Midwood
440601911,QUEENS,148-54,86 AVENUE,Briarwood-Jamaica Hills
340738170,BROOKLYN,400,WASHINGTON AVE,Clinton Hill
140916294,MANHATTAN,657,GREENWICH ST,West Village
340738205,BROOKLYN,815,FLATBUSH AVENUE,Prospect Lefferts Gardens-Wingate
140916418,MANHATTAN,222,WEST 45 STREET,Midtown-Midtown South
140916490,MANHATTAN,930,LEXINGTON AVENUE,Upper East Side-Carnegie Hill
140916392,MANHATTAN,315,EAST 72 STREET,Lenox Hill-Roosevelt Island
340738214,BROOKLYN,35,PROSPECT PARK WEST,Park Slope-Gowanus
421939273,QUEENS,40-29,235 STREET,Douglas Manor-Douglaston-Little Neck
240276018,BRONX,917,EAST 232 STREET,Williamsbridge-Olinville
103764464,MANHATTAN,235,ST NICHOLAS AVENUE,Central Harlem South
103764464,MANHATTAN,235,ST NICHOLAS AVENUE,Central Harlem South
200820629,BRONX,846,MANIDA STREET,Hunts Point
201001842,BRONX,814,MANIDA STREET,Hunts Point
301329015,BROOKLYN,230,MALCOLM X BOULEVARD,Stuyvesant Heights
140916524,MANHATTAN,529,WEST 42 STREET,Clinton
421765557,QUEENS,49-50,166 ST,East Flushing
